manufacturer,year,sold_for
Rolex,2019,32500
Rolex,2019,25000
Rolex,2017,32500
Rolex,1999,27500
Rolex,2005,37500
Patek Philippe,2009,100000
Audemars Piguet,2018,181250
A. Lange & S-hne,2003,56250
Patek Philippe,2017,75000
Vacheron Constantin,2001,143750
Audemars Piguet,2007,32500
Audemars Piguet,2019,32500
Patek Philippe,2017,250000
Patek Philippe,1982,156250
Patek Philippe,1978,740000
Patek Philippe,2017,487500
Patek Philippe,1980,200000
Cartier,2000,21250
Cartier,1996,37500
Cartier,1991,52500
Zenith,1971,43750
Zenith,1971,40000
Omega,1945,62500
Blancpain,1955,56250
Longines,1946,43750
Zenith,1967,8750
Zenith,1970,15000
Rolex,1972,37500
Rolex,1983,18750
Rolex,1994,43750
Rolex,1976,87500
Rolex,1973,72500
Rolex,1954,400000
Vacheron Constantin,1956,5250
Patek Philippe,1945,16250
Patek Philippe,1962,143750
Patek Philippe,2015,55000
Patek Philippe,1970,644000
Patek Philippe,1948,3380000
Vacheron Constantin,1950,25000
Patek Philippe,1953,17500
Patek Philippe,1955,325000
Rolex,1975,25000
Rolex,1986,25000
Rolex,1980,35000
Rolex,1965,25000
Rolex,1977,22500
Habring-,2018,21250
F.P. Journe,2012,50000
F.P. Journe,2000,1040000
Ludovic Ballouard,2009,68750
Thomas Prescher,2014,22500
MB&F,2016,31250
Omega,1940,13125
Eberhard & Co.,1945,60000
Omega,1939,47500
IWC,1943,30000
IWC,1950,56250
Patek Philippe,1954,162500
Rolex,1951,93750
Patek Philippe,1950,1160000
Patek Philippe,1952,560000
Rolex,1945,11250
Rolex,1963,27500
Rolex,1970,40000
Rolex,1955,27500
Rolex,1936,17500
Rolex,1937,31250
Omega,1939,12500
Rolex,1961,68750
Rolex,1962,47500
Rolex,2018,33750
Rolex,2014,25000
Rolex,1958,175000
Rolex,1969,1040000
Rolex,1958,740000
Rolex,1983,50000
Rolex,1986,43750
Rolex,1959,87500
Rolex,1965,40000
Patek Philippe,2005,118750
Patek Philippe,1999,30000
Patek Philippe,2007,68750
Patek Philippe,2013,72500
Patek Philippe,2008,43750
Patek Philippe,1967,125000
Movado,1950,7500
Movado,1946,17500
Omega,1959,102500
Longines,1958,47500
Tornek-Rayville,1966,112500
MB&F,2015,13750
Ressence,2012,20000
F.P. Journe,2012,37500
Laurent Ferrier,2015,35000
Singer Reimagined,2017,52500
F.P. Journe,1999,1400000
Rolex,1982,11250
Patek Philippe,1994,35000
Patek Philippe,2007,75000
Rolex,2001,45000
Rolex,2008,67500
Patek Philippe,1987,287500
Rolex,2009,125000
Rolex,1972,225000
Rolex,2017,35000
Rolex,2004,56250
Omega,1999,28750
Patek Philippe,2017,33750
Rolex,2020,56250
Audemars Piguet,2014,47500
Rolex,1990,20000
IWC,2017,25000
Patek Philippe,2005,131250
Patek Philippe,2005,131250
Patek Philippe,1998,85000
Patek Philippe,2000,32500
Patek Philippe,2008,50000
Patek Philippe,2002,181250
Rolex,1969,38750
Rolex,1998,47500
Rolex,1979,200000
Rolex,1967,35000
Rolex,1973,43750
Rolex,1956,28750
Rolex,1967,68750
Rolex,1982,68750
Rolex,1963,125000
Rolex,1958,412500
Rolex,1969,200000
Rolex,1963,43750
Rolex,1958,162500
Rolex,1968,60000
De Bethune,2015,43750
MB&F,2017,47500
Voutilainen,2016,125000
Harry Winston,2013,168750
Vianney Halter,2018,47500
Jaeger-LeCoultre,1970,2250
Jaeger-LeCoultre,1970,3250
Cartier,1978,12500
Cartier,1995,17500
Patek Philippe,1962,50000
Cartier,1991,22500
Cartier,1968,81250
Patek Philippe,1955,52500
Patek Philippe,1955,187500
Patek Philippe,1949,110000
Patek Philippe,1985,300000
Patek Philippe,1957,2600000
Patek Philippe,1942,85000
Rolex,1951,187500
Omega,1968,16250
Breitling,1967,20000
Rolex,1966,52500
Omega,1967,40000
Rolex,1987,57500
Rolex,1976,72500
Rolex,1969,187500
Rolex,1982,52500
Rolex,1986,25000
Rolex,1987,13750
Rolex,1975,57500
Rolex,1990,52500
Rolex,1983,27500
Rolex,1970,50000
Rolex,1967,93750
Rolex,1956,75000
Rolex,1971,68750
Rolex,1966,106250
Rolex,1977,100000
Rolex,1971,27500
Rolex,1979,35000
Rolex,1955,100000
Rolex,2012,35000
Rolex,1998,32500
Universal,1942,11875
Omega,1964,17500
Universal,1974,5000
Universal,1965,22500
Breitling,1967,20000
Omega,1962,50000
A. Lange & S-hne,2005,21250
A. Lange & S-hne,2004,25000
Patek Philippe,2007,37500
Patek Philippe,2017,43750
Patek Philippe,1954,437500
Patek Philippe,2012,93750
Patek Philippe,1948,143750
Patek Philippe,1942,22500
A. Lange & S-hne,2005,40000
A. Lange & S-hne,2004,60000
Patek Philippe,2019,35000
Patek Philippe,1944,287500
Patek Philippe,1943,60000
Patek Philippe,1949,87500
Patek Philippe,2003,81250
Patek Philippe,1912,56250
Audemars Piguet,1956,33750
Audemars Piguet,1996,37500
Audemars Piguet,2000,47500
Audemars Piguet,1978,131250
Patek Philippe,1977,100000
Audemars Piguet,1975,100000
Patek Philippe,2006,43750
Ulysse Nardin,1942,31250
Breguet,1939,52500
Patek Philippe,1946,1940000
De Beers,2000,68750
Panerai,2007,20000
Corum,2003,75000
Girard Perregaux,2006,150000
Breguet,2000,112500
Patek Philippe,2002,118750
A. Lange & S-hne,2002,650000
A. Lange & S-hne,2001,137500
A. Lange & S-hne,1998,116250
A. Lange & S-hne,2005,250000
A. Lange & S-hne,2007,500000
A. Lange & S-hne,2010,1875000
MB&F,2016,106250
Goldpfeil,2008,250000
H. Moser & Cie,2017,112500
HYT,2014,218750
De Bethune,2019,187500
De Bethune,2019,350000
Harry Winston,2009,637500
Voutilainen,2009,787500
Laurent Ferrier,2013,625000
Audemars Piguet,1999,75000
Audemars Piguet,2015,225000
Audemars Piguet,2015,325000
Audemars Piguet,2005,1000000
Richard Mille,2018,2750000
Tudor,1958,687500
Rolex,1953,600000
Rolex,1966,175000
Rolex,1962,200000
Rolex,1963,600000
Rolex,1971,1500000
Rolex,1964,250000
Rolex,1978,300000
Rolex,1977,1375000
Heuer,1968,90000
Universal,1967,187500
Jaeger-LeCoultre,1969,93750
Mathey-Tissot,1970,118750
Heuer,1969,112500
Heuer,1972,75000
Tudor,1971,162500
Tudor,1978,150000
Rolex,1991,225000
Rolex,1995,200000
Rolex,1995,1312500
Chanel,2017,112500
Chanel,2017,181250
Rolex,2015,475000
Piaget,1988,500000
Cartier,2005,275000
Cartier,2000,0
Patek Philippe,2010,562500
Patek Philippe,1996,912500
G-rald Genta,1980,137500
G-rald Genta,1980,112500
Vacheron Constantin,1996,93750
Anonymous,1900,87500
Patek Philippe,1902,40000
Patek Philippe,1886,200000
Patek Philippe,1910,237500
Patek Philippe,1919,60000
Patek Philippe,1961,75000
Patek Philippe,2002,225000
Patek Philippe,2008,300000
Patek Philippe,2017,875000
Patek Philippe,2014,687500
Patek Philippe,2015,662500
Patek Philippe,2017,562500
Patek Philippe,2019,750000
Rolex,1978,162500
Rolex,1967,187500
Rolex,1968,1750000
Rolex,1970,275000
Rolex,1966,325000
Rolex,1987,775000
Panerai,1993,93750
Panerai,2002,81250
Panerai,2003,87500
Panerai,2017,150000
Panerai,2010,375000
Omega,1968,137500
Omega,1987,112500
Omega,1991,35000
Omega,1998,47500
Omega,2004,81250
Cartier,2007,106250
Christiaan van der Klaauw,2008,175000
Vacheron Constantin,1999,200000
Breguet,2009,118750
Patek Philippe,1999,275000
Roger Dubuis,2000,137500
Breguet,2013,47500
Patek Philippe,2016,350000
Audemars Piguet,2005,175000
Audemars Piguet,2005,375000
Audemars Piguet,1999,200000
Harry Winston,2007,68750
Patek Philippe,2008,500000
Patek Philippe,2008,687500
Patek Philippe,2011,937500
Patek Philippe,2020,1500000
Patek Philippe,2004,937500
Patek Philippe,2018,1000000
Patek Philippe,2016,2875000
Mathey-Tissot,1960,10000
Omega,1970,218750
Heuer,1973,52500
Jaeger-LeCoultre,1969,68750
Universal,1968,106250
Longines,1970,125000
Excelsior Park,1980,47500
Tudor,1992,56250
Heuer,1999,27500
Rolex,1989,625000
Rolex,1997,250000
Rolex,1991,200000
Rolex,2004,187500
Rolex,2000,175000
Rolex,2018,162500
Rolex,2005,212500
Rolex,2005,237500
Rolex,2013,1750000
Patek Philippe,1983,525000
Patek Philippe,2003,375000
Vacheron Constantin,1977,337500
Patek Philippe,1976,687500
Patek Philippe,1982,537500
Rolex,1981,200000
Rolex,1983,187500
Rolex,1990,87500
Rolex,1999,200000
Rolex,1994,562500
Rolex,2012,1750000
Rolex,2014,250000
Rolex,2018,200000
Audemars Piguet,1998,187500
Audemars Piguet,2008,200000
Audemars Piguet,2009,150000
Audemars Piguet,2016,162500
Audemars Piguet,2014,1000000
MB&F,2019,162500
Ulysse Nardin,2014,193750
MB&F,2008,200000
Moritz Grossmann,2018,437500
Herm-s,2018,137500
Ludovic Ballouard,2015,225000
F.P. Journe,2019,162500
F.P. Journe,2018,275000
F.P. Journe,2011,875000
A. Lange & S-hne,2005,362500
A. Lange & S-hne,2013,687500
Patek Philippe,1996,3437500
Roger Dubuis,2007,57500
Roger Dubuis,2011,237500
Panerai,2017,475000
Cartier,2013,200000
Vacheron Constantin,2000,250000
Vacheron Constantin,2006,587500
Rolex,1977,225000
Rolex,1991,300000
Rolex,1992,175000
Rolex,1992,312500
Rolex,1991,175000
Patek Philippe,2011,118750
Patek Philippe,1989,687500
Patek Philippe,2011,675000
Patek Philippe,2014,400000
Patek Philippe,2015,575000
Rolex,1954,1375000
Rolex,1953,187500
Rolex,1956,212500
Rolex,1966,2000000
Rolex,1966,237500
Rolex,1964,150000
Rolex,1978,125000
Rolex,1979,125000
Rolex,1986,687500
Patek Philippe,1942,81250
Patek Philippe,1953,40000
Patek Philippe,1945,1125000
Patek Philippe,1982,4710000
Cartier,1915,32500
Cartier,1960,137500
Patek Philippe,1976,75000
Jaeger-LeCoultre,2002,31250
Patek Philippe,1997,75000
Patek Philippe,1997,112500
Patek Philippe,1988,562500
Patek Philippe,2000,2500000
Audemars Piguet,1995,27500
Audemars Piguet,1971,81250
Patek Philippe,1973,68750
Audemars Piguet,1987,162500
Cartier,2019,750000
Vacheron Constantin,2018,112500
A. Lange & S-hne,2006,350000
A. Lange & S-hne,2000,587500
Patek Philippe,1965,112500
Patek Philippe,1967,30000
Patek Philippe,1975,3750000
Patek Philippe,2017,1062500
Breitling,1944,250000
Breitling,1960,68750
Rolex,1969,1437500
Rolex,1972,193750
Rolex,1978,275000
Rolex,1978,187500
Rolex,1971,137500
Rolex,1968,200000
Rolex,1985,562500
Rolex,2002,112500
Rolex,1990,300000
Rolex,2001,225000
Rolex,2005,237500
Rolex,1971,225000
Daniel Roth,2000,106250
Patek Philippe,1996,100000
Patek Philippe,2002,81250
Patek Philippe,2019,1375000
Rolex,1935,30000
Rolex,1948,50000
Rolex,1958,87500
Rolex,1956,293750
Rolex,1956,250000
Rolex,1962,300000
Rolex,1951,200000
Rolex,1959,475000
Rolex,1970,937500
Rolex,1966,0
Rolex,1984,300000
Rolex,2002,275000
Breitling,2000,56250
Rolex,2006,237500
Patek Philippe,1995,875000
Patek Philippe,2000,325000
Patek Philippe,2001,225000
Patek Philippe,2004,250000
Patek Philippe,2019,350000
Patek Philippe,1997,237500
Patek Philippe,2010,687500
Patek Philippe,2016,600000
Patek Philippe,2016,300000
Patek Philippe,2015,300000
Patek Philippe,2014,525000
Patek Philippe,2015,475000
Patek Philippe,2019,525000
Patek Philippe,2006,1125000
Patek Philippe,2012,60480
Rolex,2010,12600
Rolex,2012,17640
Patek Philippe,2012,16380
Rolex,2014,13860
Patek Philippe,2014,52920
Patek Philippe,2010,15120
Patek Philippe,2009,23940
Audemars Piguet,1997,173250
A. Lange & S-hne,2010,25200
A. Lange & S-hne,2004,20160
Rolex,1978,34020
Rolex,1969,23940
Rolex,2009,94500
Patek Philippe,1982,693000
Audemars Piguet,1979,152460
Patek Philippe,1979,189000
Audemars Piguet,1997,422100
Audemars Piguet,2006,61740
Rolex,1935,15120
Omega,1941,10710
Longines,1958,40320
Rolex,1978,107100
Rolex,1969,315000
Rolex,1954,65520
Breguet,1960,100800
Rolex,1986,170100
Rolex,1945,75600
Universal,1971,35280
Rolex,1950,730800
Patek Philippe,2015,40320
Patek Philippe,2016,75600
Patek Philippe,1987,50400
Patek Philippe,1975,52920
Rolex,1980,35280
Patek Philippe,1955,37800
Patek Philippe,1951,81900
Patek Philippe,1949,302400
Patek Philippe,1954,4991000
Doxa,1944,2772
Doxa,1950,21420
Movado,1920,32760
Patek Philippe,1953,25200
Rolex,1946,504000
Rolex,1959,189000
Omega,1941,113400
Rolex,1983,151200
Rolex,1958,0
Patek Philippe,1955,21420
Rolex,1950,0
Breitling,1966,12600
Breitling,1966,15120
Leonidas,1950,13860
Heuer,1970,0
Rolex,1972,15120
Tudor,1975,17640
Rolex,1990,37800
Rolex,2017,81900
Rolex,1972,88200
Rolex,1978,207900
Rolex,1969,780200
Rolex,1978,105840
Cartier,1992,258300
Cartier,2000,36540
Cartier,2000,25200
Cartier,1990,9450
Piaget,1974,15120
Patek Philippe,1939,18900
Patek Philippe,1913,40320
Patek Philippe,1937,378000
Patek Philippe,1956,88200
Patek Philippe,1950,88200
Patek Philippe,1937,0
Patek Philippe,1949,60480
Vacheron Constantin,1952,9450
Vacheron Constantin,1955,15120
Vacheron Constantin,1938,52920
Vacheron & Constantin,1945,63000
Patek Philippe,2005,157500
Patek Philippe,1977,705600
Patek Philippe,1953,302400
A. Lange & S-hne,1997,50400
A. Lange & S-hne,2008,25200
Patek Philippe,2008,37800
Rolex,1973,88200
Patek Philippe,1991,52920
Rolex,1967,189000
Patek Philippe,2009,170100
Patek Philippe,2001,1421500
Patek Philippe,1999,585900
Patek Philippe,2012,32760
Patek Philippe,2004,69300
Patek Philippe,2015,35280
Patek Philippe,2014,37800
Audemars Piguet,2000,32760
A. Lange & S-hne,2005,22680
Urban J-rgensen,2000,37800
Breguet,2012,13860
A. Lange & S-hne,2005,32760
Patek Philippe,1993,63000
Patek Philippe,2006,289800
Patek Philippe,2012,81900
Rolex,1998,30240
Rolex,1971,50400
Rolex,1979,37800
Rolex,1940,25200
Rolex,1960,22680
Rolex,1985,81900
Rolex,1978,75600
Rolex,1972,138600
Rolex,2006,69300
Patek Philippe,1980,189000
Rolex,1975,16380
Rolex,1951,20160
A. Lange & S-hne,1950,44100
IWC,1942,17640
Rolex,1961,6300
Rolex,1964,21420
Heuer,1974,20160
Omega,1960,100800
Omega,1957,16380
Omega,1945,11970
Rolex,1978,107100
Longines,1935,37800
Rolex,1982,239400
Rolex,1953,163800
Heuer,1966,25200
Rolex,1962,50400
Rolex,1968,327600
Rolex,1954,478800
Universal,1945,11970
Tissot,1940,2016
Patek Philippe,1968,25200
Patek Philippe,1958,30240
Patek Philippe,1951,7560
Patek Philippe,1930,25200
Vacheron Constantin,1949,30240
Vacheron Constantin,1957,22680
Rolex,1945,44100
Rolex,1954,88200
Patek Philippe,1975,126000
Rolex,1959,554400
Patek Philippe,1937,352800
Patek Philippe,1972,1288400
Patek Philippe,1943,69300
Patek Philippe,1937,60480
Audemars Piguet,1993,27720
Audemars Piguet,1950,23940
Vacheron Constantin,1959,20160
Patek Philippe,1949,30240
Omega,1975,13860
Audemars Piguet,1975,50400
Patek Philippe,1969,11340
Vacheron Constantin,1980,40320
Vacheron Constantin,1980,78120
Audemars Piguet,1978,88200
Audemars Piguet,1994,69300
Audemars Piguet,1993,75600
Audemars Piguet,1999,207900
Audemars Piguet,1975,126000
Rolex,1986,47880
Rolex,1977,27720
Rolex,1968,50400
Rolex,2000,44100
Rolex,1991,44100
Rolex,1967,81900
Rolex,1996,151200
Rolex,1991,52920
Rolex,1996,37800
